Year,Month,Revenue Passenger Miles,Airport Name
2018,3,4400915,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,4,4263683,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,5,4465813,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,6,4681506,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,7,5104977,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,8,4900078,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,9,4134573,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,10,4397083,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,11,4062247,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2018,12,4120369,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,1,3986779,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,2,3576048,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,3,4540293,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,4,4439051,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,5,4660068,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,6,4911994,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,7,5257715,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,8,5031645,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,9,4294853,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,10,4506767,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,11,4021834,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2019,12,4324072,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,1,4074071,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,2,3712500,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,3,2201897,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,4,163327,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,5,362679,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,6,613237,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,7,1009293,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,8,1171081,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,9,1187776,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,10,1371662,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,11,1353168,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2020,12,1496248,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,1,1509360,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,2,1306640,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,3,1873410,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,4,1956901,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,5,2742269,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,6,3119137,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,7,3563788,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,8,3568068,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,9,3088530,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,10,3329034,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,11,3247687,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2021,12,3273652,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,1,2788768,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,2,2695905,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,3,3490556,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
