Popularity,date,Monthly Listeners,artist
90.0,2021-11-18,46054000,Rihanna
90.0,2021-11-19,46007398,Rihanna
90.0,2021-11-20,45971124,Rihanna
90.0,2021-11-21,45971124,Rihanna
90.0,2021-11-22,45964458,Rihanna
90.0,2021-11-23,45945407,Rihanna
89.0,2021-11-24,45959447,Rihanna
89.0,2021-11-25,45968849,Rihanna
89.0,2021-11-26,45933317,Rihanna
89.0,2021-11-27,45757907,Rihanna
89.0,2021-11-28,45757907,Rihanna
89.0,2021-11-29,45441377,Rihanna
89.0,2021-11-30,44756776,Rihanna
89.0,2021-12-01,44756776,Rihanna
89.0,2021-12-02,44736650,Rihanna
89.0,2021-12-03,44735907,Rihanna
89.0,2021-12-04,44765199,Rihanna
90.0,2021-12-05,44742539,Rihanna
90.0,2021-12-06,44742539,Rihanna
90.0,2021-12-07,44700401,Rihanna
90.0,2021-12-08,44719065,Rihanna
90.0,2021-12-09,44682639,Rihanna
90.0,2021-12-10,44682639,Rihanna
90.0,2021-12-11,44613594,Rihanna
90.0,2021-12-12,44540574,Rihanna
90.0,2021-12-13,44491346,Rihanna
90.0,2021-12-14,44491346,Rihanna
90.0,2021-12-15,44476615,Rihanna
90.0,2021-12-16,44465759,Rihanna
90.0,2021-12-17,44433453,Rihanna
90.0,2021-12-18,44352013,Rihanna
90.0,2021-12-19,44266499,Rihanna
90.0,2021-12-20,44176786,Rihanna
90.0,2021-12-21,44152768,Rihanna
90.0,2021-12-22,44106063,Rihanna
90.0,2021-12-23,44106063,Rihanna
90.0,2021-12-24,44032942,Rihanna
91.0,2021-12-25,44003872,Rihanna
91.0,2021-12-26,43742840,Rihanna
91.0,2021-12-27,43690180,Rihanna
91.0,2021-12-28,43750389,Rihanna
91.0,2021-12-29,43791506,Rihanna
91.0,2021-12-30,43863872,Rihanna
91.0,2021-12-31,43863872,Rihanna
91.0,2022-01-01,43982984,Rihanna
91.0,2022-01-02,44819996,Rihanna
91.0,2022-01-03,44955234,Rihanna
91.0,2022-01-04,45029366,Rihanna
91.0,2022-01-05,45066022,Rihanna
91.0,2022-01-06,45098958,Rihanna
91.0,2022-01-07,45098958,Rihanna
91.0,2022-01-08,45139402,Rihanna
91.0,2022-01-09,45133188,Rihanna
91.0,2022-01-10,45133188,Rihanna
91.0,2022-01-11,45200854,Rihanna
91.0,2022-01-12,45316801,Rihanna
91.0,2022-01-13,45348877,Rihanna
91.0,2022-01-14,45377170,Rihanna
91.0,2022-01-15,45438139,Rihanna
91.0,2022-01-16,45438139,Rihanna
91.0,2022-01-17,45578620,Rihanna
91.0,2022-01-18,45578620,Rihanna
91.0,2022-01-19,45592664,Rihanna
91.0,2022-01-20,45592664,Rihanna
91.0,2022-01-21,45630754,Rihanna
91.0,2022-01-22,45721100,Rihanna
91.0,2022-01-23,45721100,Rihanna
91.0,2022-01-24,46132317,Rihanna
91.0,2022-01-25,46132317,Rihanna
91.0,2022-01-26,46147708,Rihanna
91.0,2022-01-27,46147708,Rihanna
91.0,2022-01-28,46083756,Rihanna
91.0,2022-01-29,45398909,Rihanna
91.0,2022-01-30,45294985,Rihanna
91.0,2022-01-31,45294985,Rihanna
91.0,2022-02-01,45366006,Rihanna
91.0,2022-02-02,45382300,Rihanna
91.0,2022-02-03,45478626,Rihanna
91.0,2022-02-04,45569423,Rihanna
91.0,2022-02-05,45695316,Rihanna
91.0,2022-02-06,45837673,Rihanna
91.0,2022-02-07,46073387,Rihanna
91.0,2022-02-08,46152237,Rihanna
92.0,2022-02-09,46152237,Rihanna
92.0,2022-02-10,46245992,Rihanna
92.0,2022-02-11,46337910,Rihanna
92.0,2022-02-12,46337910,Rihanna
92.0,2022-02-13,46505279,Rihanna
92.0,2022-02-14,46633096,Rihanna
92.0,2022-02-15,46743007,Rihanna
92.0,2022-02-16,46986162,Rihanna
92.0,2022-02-17,46986162,Rihanna
92.0,2022-02-18,47083913,Rihanna
92.0,2022-02-19,47183362,Rihanna
92.0,2022-02-20,47315166,Rihanna
92.0,2022-02-21,47554203,Rihanna
92.0,2022-02-22,47554203,Rihanna
92.0,2022-02-23,47662051,Rihanna
92.0,2022-02-24,47749292,Rihanna
92.0,2022-02-25,47846311,Rihanna
92.0,2022-02-26,47905360,Rihanna
92.0,2022-02-27,47905360,Rihanna
92.0,2022-02-28,48078042,Rihanna
92.0,2022-03-01,48078042,Rihanna
92.0,2022-03-02,48150703,Rihanna
92.0,2022-03-03,48167544,Rihanna
92.0,2022-03-04,48230798,Rihanna
92.0,2022-03-05,48230798,Rihanna
92.0,2022-03-06,48277948,Rihanna
92.0,2022-03-07,48316848,Rihanna
92.0,2022-03-08,48316848,Rihanna
92.0,2022-03-09,48337585,Rihanna
92.0,2022-03-10,48337585,Rihanna
92.0,2022-03-11,48360700,Rihanna
92.0,2022-03-12,48382066,Rihanna
92.0,2022-03-13,48412263,Rihanna
92.0,2022-03-14,48413941,Rihanna
92.0,2022-03-15,48413941,Rihanna
92.0,2022-03-16,48404655,Rihanna
92.0,2022-03-17,48445719,Rihanna
92.0,2022-03-18,48510872,Rihanna
92.0,2022-03-19,48570242,Rihanna
92.0,2022-03-20,48603273,Rihanna
92.0,2022-03-21,48596151,Rihanna
92.0,2022-03-22,48618989,Rihanna
92.0,2022-03-23,48618989,Rihanna
92.0,2022-03-24,48652531,Rihanna
92.0,2022-03-25,48664735,Rihanna
92.0,2022-03-26,48728986,Rihanna
92.0,2022-03-27,48766204,Rihanna
92.0,2022-03-28,48813665,Rihanna
92.0,2022-03-29,48794378,Rihanna
92.0,2022-03-30,48794378,Rihanna
92.0,2022-03-31,48801042,Rihanna
92.0,2022-04-01,48854462,Rihanna
92.0,2022-04-02,48873650,Rihanna
92.0,2022-04-03,48873650,Rihanna
92.0,2022-04-04,48858730,Rihanna
92.0,2022-04-05,48833693,Rihanna
92.0,2022-04-06,48806602,Rihanna
92.0,2022-04-07,48806602,Rihanna
92.0,2022-04-08,48806602,Rihanna
92.0,2022-04-09,49010030,Rihanna
92.0,2022-04-10,49010030,Rihanna
92.0,2022-04-11,49010030,Rihanna
92.0,2022-04-12,49010030,Rihanna
92.0,2022-04-13,49010030,Rihanna
92.0,2022-04-14,49010030,Rihanna
92.0,2022-04-15,49010030,Rihanna
92.0,2022-04-16,49283515,Rihanna
92.0,2022-04-17,49283515,Rihanna
92.0,2022-04-18,49283515,Rihanna
92.0,2022-04-19,49283515,Rihanna
92.0,2022-04-20,49283515,Rihanna
92.0,2022-04-21,49283515,Rihanna
92.0,2022-04-22,49283515,Rihanna
92.0,2022-04-23,49302243,Rihanna
92.0,2022-04-24,49302243,Rihanna
92.0,2022-04-25,49302243,Rihanna
92.0,2022-04-26,49302243,Rihanna
92.0,2022-04-27,49302243,Rihanna
92.0,2022-04-28,49302243,Rihanna
